GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,0,141,3,21,0,39,3,13,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,3,95,2,4,1,29,2,5,0,4
